iter	Passed	Remaining
0	8	8167
1	14	7288
2	22	7371
3	26	6477
4	30	6012
5	35	5863
6	39	5598
7	42	5302
8	45	5032
9	49	4875
10	52	4752
11	55	4608
12	58	4452
13	61	4317
14	63	4188
15	66	4080
16	68	3984
17	71	3902
18	74	3824
19	76	3756
20	79	3714
21	82	3681
22	85	3619
23	87	3573
24	90	3538
25	94	3527
26	97	3501
27	100	3483
28	103	3463
29	107	3462
30	109	3422
31	111	3385
32	114	3351
33	116	3319
34	119	3287
35	121	3254
36	123	3225
37	126	3197
38	128	3172
39	131	3149
40	133	3123
41	135	3098
42	138	3073
43	140	3052
44	143	3046
45	146	3036
46	148	3017
47	151	2996
48	153	2976
49	155	2955
50	157	2937
51	160	2917
52	162	2898
53	164	2884
54	166	2867
55	169	2850
56	171	2833
57	173	2817
58	175	2801
59	177	2786
60	180	2775
61	182	2766
62	185	2763
63	188	2757
64	191	2750
65	193	2742
66	196	2736
67	199	2731
68	202	2729
69	204	2721
70	207	2718
71	210	2717
72	214	2721
73	217	2727
74	221	2736
75	225	2743
76	229	2751
77	233	2754
78	236	2759
79	239	2757
80	243	2757
81	245	2751
82	248	2745
83	251	2738
84	254	2734
85	256	2725
86	259	2719
87	261	2713
88	264	2711
89	267	2709
90	271	2709
91	273	2701
92	276	2692
93	278	2683
94	280	2674
95	283	2665
96	285	2658
97	287	2649
98	290	2640
99	292	2630
100	294	2621
101	296	2611
102	298	2603
103	301	2594
104	303	2585
105	305	2577
106	307	2568
107	309	2560
108	312	2551
109	314	2542
110	316	2535
111	318	2527
112	321	2521
113	324	2518
114	326	2514
115	329	2509
116	331	2504
117	334	2498
118	336	2491
119	338	2484
120	341	2477
121	343	2469
122	345	2463
123	347	2456
124	349	2449
125	352	2442
126	354	2435
127	356	2428
128	358	2420
129	360	2414
130	363	2408
131	365	2401
132	367	2395
133	369	2389
134	371	2383
135	374	2376
136	376	2369
137	378	2364
138	380	2359
139	384	2359
140	386	2357
141	389	2352
142	391	2346
143	393	2340
144	395	2334
145	398	2328
146	400	2322
147	402	2319
148	405	2316
149	408	2314
150	410	2309
151	413	2304
152	415	2298
153	417	2292
154	419	2287
155	421	2281
156	423	2275
157	425	2269
158	428	2267
159	431	2264
160	433	2261
161	436	2257
162	438	2251
163	440	2246
164	442	2241
165	445	2236
166	447	2231
167	449	2226
168	451	2220
169	453	2216
170	456	2213
171	459	2209
172	461	2206
173	463	2202
174	466	2199
175	469	2196
176	472	2195
177	474	2193
178	477	2190
179	480	2186
180	482	2183
181	485	2180
182	487	2176
183	489	2172
184	492	2169
185	494	2165
186	497	2162
187	499	2158
188	502	2154
189	504	2151
190	507	2148
191	509	2144
192	512	2144
193	516	2145
194	519	2146
195	522	2145
196	525	2142
197	528	2139
198	530	2136
199	533	2133
200	535	2129
201	537	2124
202	540	2120
203	542	2116
204	544	2111
205	546	2107
206	548	2103
207	551	2098
208	553	2094
209	555	2089
210	557	2085
211	559	2080
212	562	2076
213	564	2072
214	566	2067
215	568	2064
216	571	2061
217	573	2057
218	575	2053
219	578	2050
220	580	2046
221	582	2042
222	585	2038
223	587	2034
224	589	2030
225	591	2026
226	594	2023
227	597	2021
228	599	2018
229	601	2014
230	604	2011
231	606	2007
232	608	2003
233	610	1999
234	613	1997
235	616	1995
236	618	1992
237	621	1989
238	623	1986
239	626	1984
240	629	1982
241	632	1979
242	634	1975
243	636	1972
244	638	1968
245	641	1964
246	643	1961
247	645	1957
248	647	1953
249	650	1950
250	652	1947
251	654	1943
252	657	1940
253	659	1936
254	661	1932
255	664	1930
256	666	1927
257	669	1924
258	671	1920
259	673	1916
260	675	1913
261	678	1910
262	680	1906
263	682	1902
264	684	1899
265	687	1895
266	689	1892
267	691	1888
268	693	1884
269	695	1881
270	698	1878
271	700	1875
272	703	1873
273	706	1872
274	709	1871
275	713	1870
276	716	1869
277	719	1869
278	722	1868
279	726	1868
280	730	1868
281	734	1869
282	737	1868
283	741	1869
284	745	1869
285	748	1867
286	751	1866
287	754	1865
288	758	1865
289	761	1865
290	764	1863
291	768	1863
292	772	1863
293	775	1862
294	778	1861
295	782	1861
296	786	1861
297	790	1861
298	793	1860
299	797	1859
300	800	1859
301	803	1857
302	806	1856
303	810	1855
304	813	1854
305	817	1853
306	820	1853
307	824	1853
308	828	1852
309	832	1852
310	835	1851
311	839	1850
312	843	1850
313	846	1850
314	851	1850
315	855	1851
316	858	1849
317	861	1847
318	864	1845
319	867	1844
320	871	1842
321	874	1841
322	878	1840
323	882	1840
324	885	1839
325	888	1837
326	891	1835
327	895	1834
328	897	1831
329	900	1828
330	903	1826
331	906	1823
332	909	1821
333	911	1817
334	914	1814
335	916	1811
336	919	1808
337	922	1806
338	924	1803
339	927	1800
340	930	1797
341	932	1794
342	935	1791
343	938	1789
344	941	1787
345	944	1785
346	947	1782
347	949	1779
348	952	1776
349	955	1774
350	958	1771
351	961	1769
352	964	1767
353	967	1765
354	970	1763
355	973	1761
356	976	1759
357	979	1757
358	982	1754
359	985	1752
360	988	1750
361	991	1747
362	994	1745
363	998	1744
364	1001	1741
365	1004	1739
366	1007	1737
367	1009	1734
368	1012	1732
369	1015	1729
370	1018	1726
371	1020	1722
372	1022	1719
373	1025	1716
374	1027	1713
375	1030	1710
376	1032	1706
377	1035	1703
378	1037	1699
379	1039	1696
380	1042	1693
381	1044	1690
